dump line| message    | work id  | digitised b numbers            | Sierra system b numbers
  226290 |            | yqnb4acn | b30134225                      | b30134225
  226334 |            | c58kgu7c | b21032798                      | b21032798
  226377 |            | vexvfsfa | b18019584                      | b10022119,b18019584
  226406 |            | cg3uxeh9 | b29739731                      | b29739731
  226440 |            | rb7pbbbh | b29537319                      | b29537319
  226483 |            | sm4ukhn9 | b20451520                      | b20451520
  226529 |            | ew74gmvj | b30452569                      | b11529398,b30452569
  226558 |            | rwt45gry | b30090702                      | b30090702
  226592 |            | acrjd3uy | b1802824x                      | b11505023,b1802824x
  226628 |            | gzqyw2kp | b30183790                      | b30183790
  226672 |            | kpkqrzce | b18254640                      | b18254640
  226711 |            | xfdg6c95 | b30301397                      | b14647060,b30301397
  226752 |            | u6pysjnw | b31491583                      | b31491583
  226797 |            | hpj5d2q4 | b30031965                      | b30031965
  226836 |            | mytmxzk7 | b22650635                      | b22650635
  226868 |            | uh7j5rzn | b29903798                      | b29903798
  226929 |            | tvpjx9jf | b3078136x                      | b15060196,b3078136x
  226957 |            | qc9a8c7p | b21713443                      | b21713443
  226992 |            | ryzfsdw3 | b28933606                      | b28933606
  227037 |            | mtfy3sz8 | b29791923                      | b29791923
  227074 |            | nd46e4ha | b22012977                      | b10625550,b22012977
  227116 |            | w4dy3aae | b16725098                      | b16725098
  227145 |            | qhbm8zf2 | b29302444                      | b10775754,b29302444
  227174 |            | dfu7zywf | b28879119                      | b28879119
  227200 |            | xcumneub | b31961204                      | b15122153,b31961204
  227234 |            | tmaaynmz | b29432091                      | b29432091
  227275 |            | kz3su4wx | b22392269                      | b22392269
  227312 |            | ae63qmsg | b22482854                      | b22482854
  227362 |            | aumgmx6b | b28954981                      | b28954981
  227397 |            | xqdzjrna | b29809113                      | b10715654,b29809113
  227423 |            | z47hq4nu | b28049184                      | b10027749,b28049184
  227457 |            | nnuszx78 | b3147620x                      | b3147620x
  227493 |            | kqx2t6dp | b2044980x                      | b2044980x
  227523 |            | txcyfvdm | b28833478                      | b28833478
  227558 |            | u5hh6x9z | b30281143                      | b30281143
  227616 |            | dkakw7yh | b29421226                      | b29421226
  227671 |            | exv58huw | b21015296                      | b21015296
